,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,693,955,765,818
1,-0.44861111111111046,690,952,766,821
2,-0.397222222222221,695,953,770,818
3,-0.34583333333333144,685,939,778,822
4,-0.29444444444444196,676,899,789,832
5,-0.24305555555555242,674,852,799,835
6,-0.19166666666666288,671,828,793,845
7,-0.1402777777777734,671,817,795,845
8,-0.08888888888888385,683,764,785,849
9,-0.037499999999994316,671,717,777,847
10,0.013888888888895168,647,664,744,807
11,0.06527777777778465,607,593,705,738
12,0.11666666666667425,552,514,670,670
13,0.16805555555556373,518,425,619,584
14,0.2194444444444532,484,364,588,506
15,0.2708333333333428,466,270,556,434
16,0.3222222222222323,430,207,537,364
17,0.3736111111111218,380,189,523,262
18,0.42500000000001137,382,189,523,264
19,0.47638888888890085,386,187,529,262
20,0.5277777777777903,378,186,527,263
21,0.5791666666666799,379,184,521,264
22,0.6305555555555693,382,181,523,262
23,0.6819444444444589,378,184,535,261
24,0.7333333333333485,378,183,531,266
25,0.7847222222222379,378,183,527,265
26,0.8361111111111275,379,185,526,260
27,0.887500000000017,383,184,533,260
28,0.9388888888889064,382,187,525,260
29,0.990277777777796,376,184,526,267
30,1.0416666666666856,383,187,533,264
31,1.093055555555575,368,183,529,264
32,1.1444444444444646,372,186,524,263
33,1.1958333333333542,376,184,530,261
34,1.2472222222222435,379,184,520,259
35,1.2986111111111331,373,178,532,258
36,1.3500000000000227,382,184,526,258
