,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,397,938,403,859
1,-0.44891304347826283,389,937,424,845
2,-0.39782608695652566,378,939,432,835
3,-0.34673913043478855,359,943,451,828
4,-0.2956521739130514,361,930,468,826
5,-0.2445652173913142,354,882,477,833
6,-0.1934782608695771,356,849,482,839
7,-0.14239130434783992,357,802,473,847
8,-0.09130434782610275,360,768,459,848
9,-0.04021739130436558,367,723,446,845
10,0.01086956521737159,371,681,434,816
11,0.061956521739108705,375,630,432,763
12,0.11304347826084582,378,566,427,713
13,0.16413043478258305,393,509,430,640
14,0.21521739130432016,403,419,432,580
15,0.2663043478260574,412,372,432,511
16,0.3173913043477945,429,301,446,460
17,0.3684782608695316,460,246,452,414
18,0.41956521739126884,463,203,472,362
19,0.47065217391300596,476,147,502,310
20,0.5217391304347432,476,103,522,268
21,0.5728260869564803,474,67,546,218
22,0.6239130434782174,469,63,574,160
23,0.6749999999999545,451,54,585,125
24,0.7260869565216916,443,55,580,65
25,0.777173913043429,438,62,590,34
26,0.8282608695651661,445,75,586,35
27,0.8793478260869032,442,76,588,31
28,0.9304347826086403,445,78,582,27
29,0.9815217391303774,443,82,586,29
30,1.0326086956521148,442,85,583,37
31,1.0836956521738519,435,74,582,38
32,1.134782608695589,439,75,584,35
33,1.1858695652173261,444,68,587,34
34,1.2369565217390632,435,67,587,31
35,1.2880434782608006,441,70,590,30
36,1.3391304347825377,435,72,579,35
37,1.3902173913042748,438,74,588,32
38,1.441304347826012,435,75,587,34
39,1.492391304347749,440,69,586,38
40,1.5434782608694864,441,76,586,36
41,1.5945652173912235,435,73,587,32
42,1.6456521739129606,438,75,590,35
43,1.6967391304346977,437,71,584,36
44,1.7478260869564348,439,78,584,33
45,1.798913043478172,434,79,581,30
46,1.849999999999909,437,75,583,35
