,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,569,995,689,938
1,-0.4486842105263146,564,993,689,941
2,-0.3973684210526292,569,993,689,941
3,-0.3460526315789438,563,991,687,940
4,-0.2947368421052584,566,994,690,945
5,-0.243421052631573,566,991,687,940
6,-0.19210526315788756,561,992,686,943
7,-0.1407894736842022,569,985,693,946
8,-0.08947368421051677,594,902,689,952
9,-0.038157894736831344,590,867,687,949
10,0.013157894736854026,574,821,673,927
11,0.06447368421053945,528,752,627,888
12,0.11578947368422488,503,697,576,837
13,0.1671052631579103,460,618,541,765
14,0.2184210526315956,434,527,497,667
15,0.26973684210528104,414,448,479,618
16,0.32105263157896646,398,381,450,539
17,0.3723684210526519,385,329,442,479
18,0.4236842105263373,378,257,441,413
19,0.4750000000000226,374,204,441,362
20,0.526315789473708,366,172,417,285
21,0.5776315789473936,364,170,419,285
22,0.6289473684210789,364,168,414,291
23,0.6802631578947642,366,171,414,290
24,0.7315789473684498,373,171,415,287
25,0.7828947368421351,369,173,417,284
26,0.8342105263158206,370,169,418,290
27,0.8855263157895059,368,167,416,288
28,0.9368421052631912,368,167,410,287
29,0.9881578947368768,366,169,411,282
30,1.039473684210562,369,173,414,293
31,1.0907894736842476,364,171,415,282
32,1.142105263157933,369,170,415,287
33,1.1934210526316182,363,170,418,290
34,1.2447368421053038,369,171,419,280
35,1.296052631578989,367,166,409,286
36,1.3473684210526746,367,169,415,284
37,1.39868421052636,364,169,417,292
38,1.4500000000000455,366,166,418,284
