,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,820,371,792,451
1,-0.44966216216216187,816,363,799,434
2,-0.39932432432432374,798,362,802,422
3,-0.34898648648648556,779,357,816,429
4,-0.29864864864864743,764,357,823,409
5,-0.2483108108108093,748,348,821,405
6,-0.19797297297297112,747,337,819,396
7,-0.147635135135133,738,317,805,371
8,-0.09729729729729486,740,316,795,385
9,-0.04695945945945673,732,309,789,374
10,0.003378378378381397,723,303,774,358
11,0.05371621621621958,716,286,762,351
12,0.10405405405405777,716,274,770,348
13,0.15439189189189584,720,271,756,333
14,0.20472972972973402,717,264,748,328
15,0.2550675675675721,714,263,752,325
16,0.3054054054054103,721,253,738,305
17,0.35574324324324846,719,241,744,302
18,0.40608108108108654,733,236,735,286
19,0.4564189189189247,734,226,728,287
20,0.5067567567567628,739,230,728,274
21,0.5570945945946011,735,212,728,260
22,0.6074324324324392,728,208,725,259
23,0.6577702702702772,725,201,730,246
24,0.7081081081081155,735,187,737,246
25,0.7584459459459536,737,177,742,249
26,0.8087837837837917,728,183,739,246
27,0.8591216216216297,733,177,736,241
28,0.909459459459468,731,178,734,246
29,0.9597972972973061,725,182,730,246
30,1.0101351351351442,731,180,731,250
31,1.0604729729729825,722,189,731,250
32,1.1108108108108206,721,187,734,256
33,1.1611486486486586,721,187,738,252
34,1.211486486486497,741,192,734,253
35,1.261824324324335,728,190,724,250
36,1.312162162162173,732,195,737,253
37,1.3625000000000114,733,195,731,243
38,1.4128378378378494,731,187,725,240
39,1.4631756756756875,715,186,729,237
40,1.5135135135135256,716,187,745,229
41,1.5638513513513637,714,183,742,229
42,1.6141891891892022,711,177,749,233
43,1.6645270270270403,729,173,736,235
44,1.7148648648648783,733,166,733,233
45,1.7652027027027164,728,166,730,222
46,1.8155405405405545,714,172,728,235
47,1.8658783783783925,710,169,732,222
48,1.916216216216231,708,167,729,227
49,1.9665540540540691,700,174,732,221
50,2.016891891891907,696,170,737,233
51,2.0672297297297453,696,172,734,229
52,2.1175675675675834,692,158,728,216
53,2.1679054054054214,694,167,731,212
54,2.2182432432432595,694,164,739,204
55,2.268581081081098,694,167,730,206
56,2.318918918918936,684,165,729,201
57,2.369256756756774,690,167,732,209
58,2.4195945945946122,681,170,728,215
59,2.4699324324324503,686,168,735,216
60,2.5202702702702884,685,170,740,217
61,2.570608108108127,681,173,736,219
62,2.620945945945965,683,174,738,223
63,2.671283783783803,678,176,733,221
64,2.721621621621641,678,180,738,220
65,2.771959459459479,677,202,741,220
66,2.8222972972973173,671,198,738,216
67,2.8726351351351553,659,196,731,218
68,2.922972972972994,661,198,738,220
69,2.973310810810832,664,199,731,221
70,3.02364864864867,656,197,741,227
71,3.073986486486508,656,195,737,222
72,3.124324324324346,659,197,735,217
73,3.174662162162184,653,197,739,220
74,3.2250000000000227,652,197,740,218
75,3.275337837837861,656,196,741,216
76,3.325675675675699,649,200,741,215
77,3.376013513513537,653,200,739,220
78,3.426351351351375,650,202,746,219
79,3.476689189189213,653,201,745,224
80,3.527027027027051,646,201,747,222
81,3.5773648648648892,648,201,749,222
82,3.6277027027027273,645,200,750,221
83,3.6780405405405654,643,199,746,221
84,3.7283783783784044,646,198,750,219
85,3.7787162162162424,645,198,738,219
86,3.8290540540540805,639,201,739,221
87,3.8793918918919186,645,204,745,218
88,3.9297297297297566,637,205,732,221
89,3.9800675675675947,640,206,736,220
90,4.030405405405433,638,204,748,221
91,4.080743243243271,632,206,749,222
92,4.131081081081109,632,206,752,221
93,4.181418918918947,635,206,747,223
94,4.231756756756785,636,206,745,218
95,4.282094594594623,634,206,754,221
96,4.332432432432462,632,204,747,220
97,4.3827702702703,634,204,745,221
98,4.433108108108138,633,206,748,223
99,4.483445945945976,632,206,748,221
100,4.533783783783814,632,209,753,223
101,4.5841216216216525,635,206,747,221
102,4.634459459459491,632,203,745,220
103,4.684797297297329,631,206,746,223
104,4.735135135135167,630,204,747,220
105,4.785472972973005,633,206,744,218
106,4.835810810810843,636,206,745,217
107,4.886148648648681,636,201,745,216
108,4.936486486486519,630,201,749,215
109,4.986824324324358,635,202,744,215
110,5.037162162162196,632,204,748,218
111,5.087500000000034,629,206,751,215
112,5.137837837837872,626,204,751,218
113,5.18817567567571,625,203,746,216
114,5.238513513513548,625,204,757,219
115,5.288851351351386,631,205,743,218
116,5.3391891891892245,628,206,747,219
117,5.3895270270270625,633,203,752,223
118,5.439864864864901,629,207,748,224
119,5.490202702702739,630,204,746,219
120,5.540540540540577,622,202,754,226
121,5.590878378378415,629,204,757,218
122,5.641216216216254,627,204,738,223
123,5.691554054054092,625,204,746,221
124,5.74189189189193,627,204,746,220
125,5.792229729729768,623,204,753,219
126,5.842567567567606,625,207,742,215
127,5.892905405405444,640,207,748,221
128,5.943243243243282,642,210,750,219
129,5.99358108108112,636,210,741,212
130,6.043918918918958,632,209,745,217
131,6.0942567567567965,636,206,748,215
132,6.1445945945946345,636,212,748,218
133,6.194932432432473,632,206,751,210
134,6.245270270270311,635,206,745,218
135,6.29560810810815,631,209,752,220
136,6.345945945945988,628,202,745,213
137,6.396283783783826,631,205,747,215
138,6.446621621621664,636,211,744,220
139,6.496959459459502,636,204,751,217
140,6.54729729729734,631,205,743,218
141,6.597635135135178,637,206,745,223
142,6.647972972973016,636,204,749,216
143,6.698310810810854,633,204,746,220
144,6.748648648648692,626,205,745,221
145,6.79898648648653,641,207,745,218
146,6.849324324324368,634,206,745,217
147,6.8996621621622065,634,209,751,221
148,6.9500000000000455,630,202,751,216
